,B,G,R
124057.0,171.0,184.0,198.0
124059.0,95.0,135.0,170.0
124070.0,132.0,175.0,214.0
124076.0,165.0,171.0,214.0
124079.0,87.0,139.0,179.0
124175.0,129.0,168.0,207.0
124200.0,133.0,162.0,177.0
124206.0,123.0,185.0,225.0
124208.0,99.0,192.0,231.0
124210.0,136.0,188.0,225.0
124214.0,155.0,141.0,142.0
124265.0,138.0,138.0,154.0
124273.0,123.0,184.0,218.0
124299.0,79.0,153.0,219.0
124305.0,143.0,202.0,241.0
124307.0,98.0,166.0,209.0
124315.0,120.0,180.0,216.0
124337.0,124.0,150.0,187.0
124342.0,156.0,201.0,235.0
124375.0,78.0,153.0,199.0
124424.0,98.0,147.0,173.0
124425.0,122.0,201.0,240.0
124434.0,149.0,204.0,241.0
124443.0,126.0,185.0,217.0
124455.0,119.0,124.0,133.0
124472.0,123.0,179.0,208.0
124477.0,139.0,201.0,225.0
124483.0,119.0,177.0,213.0
124491.0,122.0,166.0,203.0
124494.0,129.0,185.0,232.0
124499.0,113.0,178.0,222.0
124516.0,151.0,136.0,133.0
124519.0,121.0,186.0,225.0
124548.0,115.0,163.0,205.0
124549.0,106.0,145.0,177.0
124578.0,157.0,221.0,245.0
124625.0,132.0,146.0,164.0
124641.0,93.0,179.0,245.0
124648.0,93.0,184.0,245.0
124649.0,181.0,209.0,240.0
124650.0,115.0,183.0,218.0
124679.0,112.0,134.0,159.0
124694.0,147.0,167.0,185.0
124714.0,162.0,150.0,170.0
124723.0,133.0,172.0,180.0
124733.0,115.0,173.0,202.0
124770.0,149.0,197.0,245.0
124782.0,107.0,171.0,225.0
124816.0,124.0,189.0,233.0
124824.0,109.0,128.0,133.0
124854.0,125.0,182.0,233.0
124862.0,112.0,174.0,210.0
124877.0,171.0,172.0,198.0
124882.0,184.0,222.0,252.0
124908.0,92.0,141.0,179.0
124943.0,189.0,206.0,219.0
124970.0,103.0,172.0,215.0
124977.0,81.0,148.0,209.0
124981.0,109.0,149.0,174.0
124991.0,141.0,209.0,252.0
124994.0,118.0,189.0,227.0
125006.0,148.0,201.0,228.0
125011.0,122.0,210.0,226.0
125040.0,195.0,184.0,180.0
125063.0,110.0,182.0,212.0
125108.0,186.0,181.0,196.0
125118.0,169.0,200.0,225.0
125119.0,133.0,163.0,182.0
125123.0,133.0,166.0,222.0
125129.0,116.0,178.0,218.0
125151.0,134.0,198.0,246.0
125158.0,120.0,187.0,248.0
125188.0,118.0,185.0,208.0
125199.0,137.0,195.0,230.0
125209.0,168.0,188.0,213.0
125277.0,140.0,204.0,245.0
125304.0,143.0,207.0,232.0
125327.0,80.0,136.0,218.0
125328.0,109.0,193.0,235.0
125352.0,92.0,124.0,143.0
125358.0,129.0,190.0,240.0
125393.0,135.0,185.0,245.0
125422.0,107.0,169.0,223.0
125439.0,133.0,132.0,136.0
125460.0,115.0,173.0,202.0
125475.0,107.0,132.0,158.0
125507.0,133.0,144.0,174.0
125525.0,129.0,183.0,213.0
125537.0,102.0,165.0,199.0
125576.0,136.0,169.0,202.0
125577.0,160.0,125.0,105.0
125597.0,123.0,153.0,188.0
125616.0,103.0,171.0,216.0
125620.0,105.0,179.0,213.0
125627.0,131.0,184.0,211.0
125664.0,171.0,136.0,156.0
125667.0,123.0,183.0,235.0
125672.0,83.0,171.0,235.0
125675.0,126.0,168.0,191.0
125678.0,121.0,149.0,183.0
125683.0,117.0,191.0,217.0
125686.0,137.0,155.0,184.0
125687.0,139.0,193.0,226.0
125719.0,138.0,162.0,182.0
125739.0,107.0,179.0,221.0
125740.0,143.0,199.0,240.0
125746.0,100.0,174.0,202.0
125755.0,108.0,165.0,190.0
125756.0,85.0,140.0,191.0
125760.0,102.0,122.0,140.0
125770.0,131.0,161.0,196.0
125787.0,108.0,164.0,199.0
125797.0,161.0,212.0,238.0
125798.0,83.0,174.0,219.0
125828.0,110.0,155.0,189.0
125860.0,114.0,175.0,237.0
125861.0,117.0,138.0,165.0
125912.0,66.0,138.0,216.0
125934.0,132.0,188.0,253.0
125948.0,163.0,177.0,189.0
125960.0,113.0,170.0,209.0
125973.0,120.0,151.0,176.0
125975.0,213.0,185.0,204.0
125983.0,114.0,186.0,220.0
126041.0,97.0,139.0,168.0
126050.0,158.0,135.0,133.0
126077.0,185.0,199.0,241.0
126085.0,109.0,147.0,177.0
126088.0,112.0,133.0,155.0
126131.0,152.0,182.0,209.0
126132.0,106.0,143.0,181.0
126143.0,106.0,151.0,194.0
126151.0,103.0,143.0,168.0
126153.0,102.0,127.0,159.0
126154.0,104.0,141.0,175.0
126202.0,162.0,161.0,187.0
126234.0,127.0,152.0,172.0
126256.0,141.0,152.0,220.0
126260.0,119.0,165.0,212.0
126265.0,128.0,168.0,196.0
126279.0,151.0,149.0,169.0
126282.0,152.0,201.0,217.0
126304.0,229.0,157.0,139.0
126321.0,137.0,156.0,193.0
126338.0,149.0,209.0,251.0
126364.0,108.0,138.0,157.0
126382.0,129.0,195.0,224.0
126386.0,84.0,103.0,130.0
126391.0,85.0,138.0,188.0
126406.0,116.0,140.0,162.0
126427.0,152.0,203.0,243.0
126435.0,93.0,91.0,103.0
126438.0,133.0,212.0,239.0
126459.0,145.0,196.0,229.0
126471.0,135.0,144.0,154.0
126475.0,66.0,145.0,194.0
126486.0,121.0,130.0,143.0
126502.0,101.0,182.0,219.0
126510.0,156.0,206.0,236.0
126540.0,124.0,192.0,245.0
126547.0,131.0,140.0,160.0
126549.0,112.0,118.0,161.0
126581.0,182.0,198.0,235.0
126625.0,125.0,186.0,196.0
126638.0,126.0,159.0,185.0
126643.0,122.0,188.0,229.0
126649.0,142.0,171.0,198.0
126656.0,132.0,196.0,227.0
126663.0,153.0,205.0,221.0
126694.0,163.0,156.0,177.0
126696.0,141.0,193.0,229.0
126719.0,139.0,196.0,211.0
126740.0,132.0,189.0,220.0
126759.0,137.0,206.0,245.0
126760.0,135.0,187.0,227.0
126764.0,125.0,156.0,187.0
126783.0,87.0,168.0,213.0
126800.0,150.0,203.0,240.0
126804.0,153.0,187.0,240.0
126827.0,117.0,169.0,240.0
126841.0,136.0,110.0,98.0
126845.0,124.0,168.0,205.0
126847.0,128.0,141.0,155.0
126856.0,126.0,180.0,215.0
126857.0,88.0,154.0,205.0
126864.0,155.0,216.0,250.0
126885.0,142.0,210.0,247.0
126923.0,121.0,193.0,233.0
126929.0,133.0,198.0,226.0
126961.0,70.0,131.0,181.0
127027.0,137.0,193.0,228.0
127031.0,128.0,194.0,253.0
127052.0,124.0,188.0,223.0
127057.0,156.0,186.0,203.0
127059.0,127.0,208.0,243.0
127082.0,119.0,187.0,234.0
127163.0,131.0,181.0,209.0
127197.0,105.0,181.0,210.0
127210.0,116.0,163.0,201.0
127231.0,113.0,144.0,177.0
127297.0,107.0,178.0,222.0
127317.0,136.0,181.0,224.0
127333.0,110.0,148.0,166.0
127354.0,149.0,190.0,223.0
127360.0,144.0,196.0,236.0
127368.0,105.0,122.0,143.0
127380.0,73.0,145.0,205.0
127382.0,117.0,175.0,227.0
127386.0,140.0,152.0,186.0
127417.0,127.0,169.0,198.0
127418.0,122.0,135.0,149.0
127423.0,112.0,136.0,154.0
127441.0,131.0,161.0,202.0
127444.0,137.0,190.0,227.0
127458.0,127.0,207.0,238.0
127465.0,160.0,205.0,232.0
127467.0,96.0,157.0,213.0
127487.0,117.0,138.0,165.0
127494.0,110.0,148.0,172.0
127498.0,125.0,189.0,219.0
127502.0,118.0,171.0,222.0
127511.0,127.0,133.0,144.0
127517.0,147.0,203.0,244.0
127530.0,99.0,141.0,164.0
127546.0,110.0,145.0,185.0
127552.0,171.0,154.0,158.0
127566.0,133.0,151.0,182.0
127574.0,104.0,118.0,137.0
127590.0,169.0,195.0,211.0
127627.0,94.0,163.0,212.0
127630.0,135.0,166.0,187.0
127667.0,132.0,181.0,237.0
127669.0,131.0,170.0,198.0
127687.0,61.0,162.0,224.0
127698.0,104.0,174.0,228.0
127730.0,175.0,206.0,239.0
127783.0,168.0,170.0,188.0
127788.0,97.0,185.0,226.0
127793.0,97.0,184.0,228.0
127795.0,114.0,157.0,190.0
127817.0,111.0,184.0,222.0
127857.0,75.0,165.0,206.0
127872.0,128.0,192.0,223.0
127887.0,79.0,170.0,239.0
127897.0,145.0,167.0,202.0
127901.0,139.0,195.0,236.0
127918.0,97.0,170.0,238.0
127934.0,121.0,182.0,222.0
127935.0,80.0,108.0,149.0
127937.0,181.0,160.0,168.0
127950.0,101.0,168.0,213.0
127951.0,95.0,147.0,193.0
127970.0,192.0,165.0,155.0
128004.0,146.0,115.0,116.0
128027.0,121.0,195.0,243.0
128031.0,110.0,130.0,147.0
128068.0,89.0,174.0,230.0
128069.0,143.0,211.0,246.0
128079.0,159.0,199.0,218.0
128102.0,107.0,135.0,166.0
128110.0,68.0,157.0,201.0
128128.0,115.0,171.0,218.0
128130.0,153.0,138.0,136.0
128132.0,136.0,191.0,228.0
128137.0,235.0,214.0,246.0
128147.0,142.0,199.0,225.0
128202.0,113.0,156.0,183.0
128216.0,112.0,152.0,181.0
128220.0,105.0,174.0,231.0
128240.0,117.0,192.0,236.0
128271.0,138.0,179.0,211.0
128277.0,134.0,148.0,160.0
128284.0,134.0,181.0,213.0
128285.0,126.0,167.0,212.0
128316.0,135.0,194.0,239.0
128341.0,255.0,150.0,133.0
128343.0,194.0,177.0,180.0
128345.0,120.0,154.0,167.0
128357.0,147.0,184.0,242.0
128380.0,102.0,146.0,193.0
128385.0,176.0,171.0,198.0
128389.0,132.0,207.0,245.0
128396.0,114.0,173.0,218.0
128411.0,202.0,214.0,226.0
128417.0,124.0,207.0,229.0
128434.0,116.0,150.0,173.0
128439.0,138.0,188.0,230.0
128470.0,105.0,146.0,168.0
128485.0,86.0,157.0,201.0
128496.0,122.0,214.0,239.0
128499.0,119.0,191.0,225.0
128519.0,126.0,194.0,253.0
128544.0,110.0,189.0,240.0
128563.0,136.0,195.0,235.0
128575.0,87.0,147.0,201.0
128615.0,131.0,170.0,198.0
128619.0,110.0,187.0,226.0
128625.0,131.0,197.0,226.0
128646.0,124.0,166.0,211.0
128650.0,181.0,232.0,255.0
128664.0,87.0,103.0,120.0
128703.0,123.0,136.0,158.0
128707.0,140.0,199.0,239.0
128720.0,94.0,174.0,221.0
128724.0,110.0,108.0,114.0
128745.0,87.0,125.0,155.0
128749.0,107.0,182.0,251.0
128762.0,110.0,177.0,202.0
128799.0,145.0,157.0,181.0
128814.0,89.0,135.0,182.0
128815.0,136.0,201.0,246.0
128826.0,169.0,214.0,248.0
128832.0,115.0,196.0,241.0
128864.0,122.0,189.0,238.0
128919.0,111.0,132.0,147.0
128929.0,141.0,194.0,227.0
128936.0,98.0,179.0,217.0
128947.0,131.0,195.0,250.0
128978.0,255.0,193.0,169.0
128998.0,141.0,154.0,162.0
129013.0,129.0,197.0,250.0
129036.0,119.0,186.0,219.0
129042.0,117.0,171.0,201.0
129043.0,243.0,143.0,131.0
129068.0,127.0,125.0,137.0
129093.0,110.0,149.0,181.0
129102.0,126.0,182.0,229.0
129117.0,141.0,165.0,183.0
129124.0,118.0,176.0,212.0
129146.0,116.0,213.0,247.0
129149.0,135.0,187.0,228.0
129160.0,117.0,169.0,209.0
129168.0,176.0,164.0,162.0
129170.0,109.0,158.0,198.0
129173.0,167.0,207.0,232.0
129175.0,136.0,209.0,229.0
129185.0,127.0,183.0,230.0
129187.0,115.0,152.0,196.0
129191.0,107.0,178.0,235.0
129195.0,151.0,149.0,148.0
129199.0,84.0,122.0,152.0
129202.0,119.0,190.0,224.0
129207.0,121.0,188.0,211.0
129209.0,113.0,170.0,222.0
129211.0,109.0,95.0,89.0
129221.0,132.0,161.0,182.0
129225.0,99.0,191.0,210.0
129248.0,142.0,157.0,173.0
129251.0,126.0,160.0,189.0
129277.0,85.0,173.0,227.0
129359.0,199.0,223.0,243.0
129362.0,176.0,152.0,154.0
129365.0,200.0,181.0,190.0
129376.0,131.0,193.0,241.0
129433.0,212.0,137.0,105.0
129439.0,119.0,203.0,245.0
129456.0,125.0,202.0,235.0
129458.0,146.0,209.0,243.0
129480.0,94.0,149.0,194.0
129483.0,114.0,154.0,183.0
129486.0,133.0,139.0,144.0
129488.0,208.0,238.0,255.0
129501.0,124.0,178.0,231.0
129510.0,140.0,181.0,213.0
129556.0,151.0,196.0,233.0
129560.0,108.0,174.0,223.0
129570.0,120.0,201.0,239.0
129594.0,56.0,98.0,133.0
129605.0,145.0,185.0,233.0
129609.0,96.0,127.0,148.0
129622.0,161.0,174.0,190.0
129626.0,88.0,172.0,214.0
129637.0,131.0,193.0,241.0
129665.0,139.0,174.0,214.0
129721.0,89.0,163.0,221.0
129777.0,120.0,162.0,199.0
129780.0,123.0,197.0,245.0
129809.0,156.0,207.0,233.0
129852.0,88.0,145.0,206.0
129869.0,153.0,163.0,187.0
129883.0,144.0,208.0,239.0
129932.0,129.0,187.0,223.0
129935.0,101.0,163.0,187.0
129937.0,181.0,225.0,249.0
129939.0,99.0,164.0,215.0
129951.0,142.0,186.0,223.0
129993.0,111.0,121.0,131.0
130002.0,123.0,196.0,216.0
130026.0,91.0,105.0,128.0
130049.0,118.0,180.0,226.0
130055.0,143.0,205.0,246.0
130071.0,95.0,162.0,211.0
130077.0,153.0,144.0,170.0
130097.0,109.0,124.0,143.0
130110.0,85.0,161.0,213.0
130136.0,103.0,168.0,212.0
130157.0,142.0,190.0,226.0
130160.0,142.0,206.0,247.0
130207.0,119.0,153.0,206.0
130226.0,157.0,209.0,246.0
130241.0,132.0,187.0,218.0
130244.0,132.0,196.0,237.0
130278.0,163.0,179.0,191.0
130285.0,104.0,102.0,102.0
130303.0,116.0,159.0,178.0
130313.0,156.0,163.0,188.0
130334.0,158.0,162.0,167.0
130343.0,126.0,164.0,196.0
130344.0,175.0,173.0,193.0
130355.0,78.0,163.0,211.0
130356.0,189.0,215.0,255.0
130394.0,103.0,174.0,211.0
130396.0,98.0,152.0,175.0
130397.0,160.0,192.0,233.0
130403.0,86.0,158.0,205.0
130407.0,203.0,227.0,247.0
130424.0,153.0,151.0,151.0
130426.0,71.0,144.0,202.0
130440.0,129.0,136.0,151.0
130450.0,130.0,182.0,228.0
130454.0,134.0,189.0,220.0
130456.0,93.0,161.0,204.0
130460.0,113.0,160.0,204.0
130475.0,111.0,141.0,158.0
130499.0,143.0,182.0,227.0
130520.0,109.0,163.0,193.0
130532.0,123.0,187.0,241.0
130553.0,130.0,175.0,219.0
130558.0,168.0,159.0,180.0
130565.0,113.0,125.0,137.0
130567.0,112.0,133.0,164.0
130574.0,153.0,206.0,243.0
130580.0,105.0,122.0,141.0
130624.0,160.0,209.0,235.0
130649.0,177.0,168.0,178.0
130710.0,157.0,223.0,248.0
130719.0,190.0,149.0,154.0
130723.0,165.0,189.0,219.0
130737.0,124.0,188.0,219.0
130741.0,129.0,184.0,227.0
130743.0,197.0,183.0,195.0
130745.0,118.0,170.0,223.0
130759.0,188.0,234.0,255.0
130760.0,134.0,129.0,138.0
130768.0,117.0,186.0,229.0
130781.0,100.0,171.0,215.0
130790.0,105.0,130.0,140.0
130803.0,121.0,195.0,231.0
130819.0,112.0,128.0,151.0
130826.0,134.0,171.0,197.0
130853.0,127.0,159.0,195.0
130858.0,159.0,161.0,179.0
130861.0,137.0,179.0,222.0
130868.0,140.0,199.0,238.0
130888.0,116.0,179.0,207.0
130908.0,138.0,166.0,197.0
130946.0,114.0,177.0,221.0
130963.0,121.0,165.0,212.0
130969.0,112.0,193.0,230.0
130971.0,134.0,193.0,242.0
130972.0,120.0,137.0,146.0
130973.0,138.0,150.0,160.0
130979.0,113.0,172.0,204.0
130996.0,118.0,179.0,241.0
131009.0,122.0,171.0,209.0
131010.0,102.0,125.0,141.0
131021.0,133.0,191.0,213.0
131030.0,155.0,205.0,255.0
131049.0,125.0,204.0,247.0
131051.0,101.0,142.0,205.0
131054.0,155.0,185.0,202.0
131063.0,148.0,129.0,126.0
131064.0,151.0,201.0,243.0
131103.0,91.0,80.0,88.0
131138.0,97.0,145.0,179.0
131164.0,118.0,125.0,140.0
131172.0,232.0,182.0,154.0
131184.0,129.0,181.0,251.0
131189.0,111.0,168.0,200.0
131208.0,166.0,122.0,98.0
131211.0,109.0,187.0,234.0
131221.0,118.0,125.0,158.0
131245.0,149.0,137.0,137.0
131246.0,107.0,169.0,187.0
131260.0,128.0,191.0,229.0
131278.0,99.0,123.0,141.0
131293.0,188.0,206.0,243.0
131312.0,176.0,132.0,103.0
131315.0,162.0,172.0,190.0
131322.0,124.0,177.0,210.0
131323.0,122.0,182.0,224.0
131359.0,160.0,197.0,201.0
131373.0,139.0,196.0,241.0
131374.0,92.0,159.0,204.0
131376.0,248.0,239.0,230.0
131395.0,117.0,142.0,168.0
131410.0,140.0,203.0,241.0
131435.0,84.0,162.0,229.0
131452.0,130.0,200.0,247.0
131465.0,139.0,167.0,198.0
131473.0,117.0,165.0,207.0
131500.0,143.0,167.0,189.0
131504.0,70.0,150.0,205.0
131520.0,158.0,175.0,232.0
131521.0,138.0,185.0,223.0
131525.0,154.0,194.0,229.0
131540.0,119.0,146.0,167.0
131585.0,172.0,158.0,164.0
131596.0,147.0,209.0,239.0
131603.0,153.0,213.0,255.0
131624.0,126.0,135.0,145.0
131635.0,100.0,180.0,217.0
131657.0,132.0,198.0,233.0
131670.0,88.0,103.0,112.0
131744.0,105.0,201.0,224.0
131745.0,168.0,213.0,240.0
131747.0,126.0,141.0,144.0
131807.0,164.0,179.0,212.0
131821.0,128.0,195.0,228.0
131843.0,118.0,182.0,223.0
131848.0,150.0,202.0,239.0
131855.0,189.0,195.0,218.0
131874.0,190.0,180.0,196.0
131875.0,90.0,119.0,134.0
131880.0,215.0,160.0,217.0
131903.0,128.0,168.0,210.0
131905.0,150.0,204.0,234.0
131934.0,113.0,192.0,203.0
131939.0,148.0,195.0,223.0
131999.0,148.0,207.0,239.0
132003.0,110.0,190.0,227.0
132021.0,120.0,172.0,202.0
132038.0,101.0,156.0,177.0
132062.0,120.0,164.0,223.0
132121.0,142.0,152.0,170.0
132127.0,91.0,124.0,144.0
132139.0,176.0,214.0,248.0
132147.0,120.0,186.0,215.0
132153.0,133.0,188.0,225.0
132171.0,125.0,148.0,186.0
132172.0,124.0,194.0,241.0
132175.0,159.0,163.0,174.0
132188.0,142.0,188.0,235.0
132209.0,148.0,205.0,244.0
132234.0,111.0,142.0,167.0
132247.0,255.0,180.0,123.0
132250.0,114.0,150.0,166.0
132267.0,109.0,182.0,244.0
132280.0,161.0,224.0,255.0
132305.0,150.0,157.0,177.0
132321.0,140.0,204.0,245.0
132333.0,154.0,135.0,132.0
132342.0,101.0,131.0,150.0
132350.0,165.0,219.0,252.0
132353.0,116.0,164.0,206.0
132382.0,106.0,194.0,241.0
132400.0,135.0,192.0,224.0
132413.0,86.0,123.0,167.0
132416.0,167.0,157.0,157.0
132419.0,64.0,135.0,169.0
132423.0,117.0,190.0,228.0
132439.0,109.0,190.0,228.0
132448.0,161.0,157.0,182.0
132456.0,130.0,196.0,221.0
132457.0,180.0,151.0,160.0
132473.0,138.0,194.0,243.0
132481.0,147.0,192.0,225.0
132502.0,93.0,151.0,200.0
132535.0,77.0,155.0,222.0
132551.0,137.0,190.0,241.0
132573.0,152.0,206.0,247.0
132589.0,118.0,129.0,149.0
132612.0,176.0,147.0,156.0
132623.0,148.0,213.0,251.0
132626.0,114.0,200.0,242.0
132631.0,161.0,212.0,244.0
132636.0,142.0,174.0,209.0
132639.0,97.0,147.0,200.0
132640.0,120.0,174.0,207.0
132647.0,90.0,121.0,146.0
132658.0,115.0,139.0,167.0
132709.0,158.0,161.0,182.0
132714.0,253.0,188.0,167.0
132732.0,187.0,203.0,210.0
132746.0,124.0,181.0,233.0
132754.0,111.0,178.0,223.0
132767.0,210.0,212.0,243.0
132781.0,139.0,202.0,236.0
132782.0,122.0,192.0,246.0
132788.0,110.0,180.0,197.0
132802.0,125.0,174.0,224.0
132803.0,115.0,166.0,199.0
132813.0,143.0,184.0,216.0
132814.0,122.0,154.0,207.0
132825.0,160.0,207.0,229.0
132829.0,141.0,195.0,225.0
132837.0,78.0,136.0,195.0
132856.0,130.0,162.0,191.0
132884.0,122.0,155.0,175.0
132907.0,97.0,131.0,155.0
132919.0,121.0,186.0,214.0
132938.0,182.0,151.0,182.0
132957.0,139.0,192.0,229.0
132969.0,183.0,179.0,191.0
133009.0,116.0,175.0,207.0
133023.0,154.0,225.0,255.0
133036.0,88.0,154.0,205.0
133100.0,140.0,140.0,154.0
133108.0,127.0,189.0,230.0
133161.0,131.0,203.0,245.0
133166.0,127.0,195.0,230.0
133178.0,137.0,170.0,203.0
133206.0,127.0,163.0,203.0
133231.0,128.0,194.0,235.0
133256.0,194.0,169.0,159.0
133282.0,158.0,185.0,212.0
133287.0,147.0,196.0,228.0
133289.0,148.0,179.0,204.0
133307.0,86.0,127.0,160.0
133355.0,78.0,164.0,224.0
133380.0,113.0,168.0,219.0
133395.0,180.0,187.0,207.0
133435.0,107.0,125.0,136.0
133451.0,135.0,166.0,191.0
133499.0,162.0,155.0,170.0
133503.0,154.0,187.0,226.0
133531.0,119.0,203.0,228.0
133542.0,134.0,132.0,154.0
133558.0,165.0,190.0,232.0
133596.0,130.0,182.0,218.0
133616.0,136.0,171.0,197.0
133626.0,157.0,221.0,255.0
133637.0,120.0,200.0,231.0
133639.0,125.0,169.0,192.0
133654.0,153.0,197.0,228.0
133665.0,138.0,192.0,223.0
133669.0,105.0,164.0,214.0
133675.0,140.0,200.0,236.0
133711.0,162.0,167.0,176.0
133734.0,149.0,187.0,221.0
133755.0,129.0,159.0,176.0
133766.0,133.0,193.0,235.0
133779.0,125.0,191.0,244.0
133824.0,133.0,178.0,221.0
133854.0,166.0,192.0,229.0
133862.0,83.0,185.0,234.0
133870.0,111.0,180.0,237.0
133941.0,107.0,148.0,203.0
133985.0,145.0,195.0,225.0
133994.0,113.0,138.0,170.0
134055.0,101.0,174.0,206.0
134068.0,94.0,181.0,231.0
134087.0,158.0,212.0,242.0
134155.0,95.0,139.0,186.0
134170.0,107.0,155.0,219.0
134179.0,84.0,133.0,189.0
134184.0,159.0,112.0,91.0
134191.0,141.0,179.0,233.0
134211.0,124.0,142.0,171.0
134231.0,119.0,186.0,247.0
134234.0,164.0,223.0,249.0
134266.0,131.0,142.0,146.0
134270.0,99.0,168.0,217.0
134277.0,121.0,189.0,226.0
134282.0,140.0,164.0,184.0
134285.0,123.0,188.0,216.0
134289.0,113.0,193.0,240.0
134347.0,154.0,195.0,210.0
134363.0,126.0,105.0,103.0
134364.0,152.0,229.0,255.0
134368.0,114.0,139.0,159.0
134398.0,183.0,180.0,189.0
134412.0,112.0,144.0,193.0
134415.0,126.0,190.0,238.0
134424.0,95.0,176.0,213.0
134425.0,160.0,202.0,239.0
134431.0,113.0,171.0,230.0
134450.0,113.0,182.0,215.0
134456.0,135.0,174.0,202.0
134463.0,106.0,165.0,215.0
134468.0,121.0,188.0,215.0
134470.0,116.0,185.0,224.0
134516.0,160.0,193.0,232.0
134549.0,111.0,175.0,209.0
134556.0,109.0,143.0,166.0
134568.0,116.0,171.0,210.0
134569.0,133.0,146.0,160.0
134573.0,115.0,176.0,208.0
134600.0,135.0,161.0,198.0
134604.0,134.0,191.0,236.0
134618.0,109.0,169.0,215.0
134624.0,108.0,164.0,205.0
134631.0,142.0,204.0,250.0
134638.0,150.0,198.0,240.0
134640.0,110.0,152.0,217.0
134644.0,102.0,143.0,176.0
134646.0,166.0,199.0,225.0
134661.0,105.0,104.0,100.0
134676.0,177.0,174.0,206.0
134681.0,162.0,186.0,222.0
134688.0,135.0,138.0,143.0
134703.0,122.0,219.0,245.0
134718.0,123.0,173.0,209.0
134736.0,136.0,197.0,241.0
134742.0,99.0,124.0,140.0
134798.0,169.0,173.0,178.0
134817.0,158.0,201.0,252.0
134843.0,108.0,168.0,204.0
134877.0,96.0,176.0,217.0
134880.0,118.0,182.0,247.0
134882.0,125.0,168.0,195.0
134899.0,137.0,192.0,229.0
134903.0,131.0,185.0,232.0
134915.0,153.0,197.0,228.0
134922.0,113.0,178.0,206.0
134947.0,126.0,164.0,176.0
134970.0,152.0,197.0,231.0
134981.0,141.0,163.0,188.0
134986.0,138.0,173.0,207.0
134993.0,115.0,152.0,178.0
135020.0,107.0,183.0,231.0
135030.0,101.0,179.0,196.0
135033.0,219.0,198.0,223.0
135039.0,135.0,184.0,222.0
135043.0,134.0,181.0,212.0
135059.0,110.0,182.0,236.0
135066.0,107.0,147.0,176.0
135077.0,128.0,135.0,162.0
135082.0,140.0,164.0,182.0
135093.0,139.0,194.0,233.0
135095.0,113.0,105.0,105.0
135102.0,191.0,177.0,195.0
135134.0,147.0,206.0,255.0
135135.0,103.0,168.0,207.0
135163.0,103.0,172.0,211.0
135172.0,102.0,186.0,238.0
135173.0,121.0,206.0,246.0
135174.0,79.0,124.0,157.0
135184.0,152.0,214.0,254.0
135187.0,112.0,152.0,187.0
135191.0,176.0,171.0,180.0
135208.0,135.0,193.0,242.0
135223.0,131.0,206.0,238.0
135256.0,115.0,155.0,197.0
135258.0,118.0,182.0,216.0
135295.0,104.0,156.0,203.0
135299.0,91.0,110.0,115.0
135311.0,115.0,179.0,237.0
135336.0,127.0,129.0,139.0
135337.0,110.0,149.0,204.0
135338.0,115.0,147.0,166.0
135351.0,98.0,189.0,226.0
135352.0,105.0,195.0,220.0
135353.0,142.0,176.0,205.0
135359.0,147.0,203.0,250.0
135363.0,139.0,202.0,236.0
135416.0,136.0,190.0,225.0
135417.0,110.0,170.0,212.0
135440.0,130.0,116.0,127.0
135441.0,120.0,132.0,166.0
135449.0,120.0,181.0,221.0
135453.0,116.0,195.0,246.0
135456.0,166.0,142.0,152.0
135494.0,233.0,150.0,112.0
135499.0,129.0,163.0,187.0
135524.0,119.0,136.0,139.0
135536.0,86.0,138.0,185.0
135541.0,146.0,210.0,244.0
135588.0,174.0,194.0,242.0
135596.0,131.0,147.0,164.0
135616.0,101.0,169.0,206.0
135640.0,119.0,181.0,219.0
135648.0,92.0,144.0,174.0
135676.0,106.0,181.0,227.0
135705.0,169.0,138.0,139.0
135714.0,125.0,145.0,162.0
135717.0,106.0,179.0,223.0
135730.0,106.0,133.0,183.0
135734.0,184.0,180.0,192.0
135766.0,116.0,191.0,237.0
135779.0,155.0,153.0,172.0
135809.0,74.0,128.0,169.0
135810.0,106.0,169.0,227.0
135820.0,117.0,162.0,196.0
135828.0,111.0,189.0,218.0
135831.0,164.0,216.0,255.0
135842.0,100.0,183.0,221.0
135868.0,123.0,157.0,173.0
135873.0,144.0,186.0,221.0
135890.0,193.0,183.0,176.0
135901.0,103.0,183.0,220.0
135902.0,134.0,156.0,197.0
135924.0,119.0,197.0,240.0
135972.0,169.0,215.0,249.0
135980.0,137.0,198.0,242.0
136005.0,136.0,191.0,230.0
136022.0,134.0,195.0,235.0
136039.0,137.0,199.0,239.0
136072.0,148.0,162.0,185.0
136093.0,133.0,200.0,239.0
136109.0,91.0,152.0,202.0
136166.0,146.0,142.0,154.0
136167.0,125.0,189.0,220.0
136211.0,131.0,175.0,199.0
136233.0,130.0,137.0,154.0
136247.0,117.0,187.0,216.0
136255.0,129.0,207.0,224.0
136261.0,130.0,185.0,228.0
136264.0,113.0,132.0,165.0
136289.0,150.0,202.0,255.0
136317.0,82.0,157.0,213.0
136370.0,113.0,187.0,221.0
136382.0,120.0,184.0,239.0
136385.0,114.0,186.0,228.0
136387.0,119.0,173.0,196.0
136401.0,128.0,197.0,240.0
136414.0,85.0,154.0,241.0
136418.0,62.0,141.0,184.0
136420.0,154.0,195.0,234.0
136439.0,125.0,141.0,147.0
136441.0,114.0,161.0,175.0
136454.0,135.0,206.0,243.0
136466.0,114.0,182.0,217.0
